cat_name,cat_slug,cat_id,cat_parent_id,cat_order
Age-Group Event,age_group_event,483,0,1
Arena Games Finals,arena_games_finals,612,0,2
Arena Games Series,arena_games_series,610,0,3
Continental Championships,continental_championships,340,0,4
Continental Cup,continental_cup,341,0,5
Continental Junior Cup,continental_junior_cup,342,0,6
Continental Para Cup,continental_para_cup,623,0,7
Development Regional Cup,development_regional_cup,477,0,8
Major Games,major_games,343,0,9
Multisport Series,multisport_series,344,0,10
Qualification Event,qualification_event,352,0,11
Recognised Event,recognised_event,345,0,12
Recognised Games,recognised_games,346,0,13
Regional Championships,regional_championships,347,0,14
T100 Triathlon World Tour,t100_triathlon_world_tour,640,0,15
World Championship Finals,world_championship_finals,624,0,16
World Championship Series,world_championship_series,351,0,17
World Championships,world_championships,348,0,18
World Cup,world_cup,349,0,19
World Indoor Cup,world_indoor_cup,631,0,20
World Para Cup,world_para_cup,449,0,21
World Para Series,world_para_series,448,0,22
World Paratriathlon Event,world_paratriathlon_event,350,0,23